	key_0	name	givenname	pagenr	level	schutte_nr	schuttenummers	nr	category
0	1-43	Taffin	Quintin	1	1	1	1-43	I	Frankrijk
1	1-43	Calvart	Lieven	2	1	2	1-43	I	Frankrijk
2	1-43	Nassau	Justinus van	3	1	3	1-43	I	Frankrijk
3	1-43	Oldenbarnevelt	Johan van	3	1	4	1-43	I	Frankrijk
4	1-43	Aerssen	François van	4	1	5	1-43	I	Frankrijk
5	1-43	Mijle	Cornelis van der	7	1	6	1-43	I	Frankrijk
6	1-43	Boetzelaer	Gideon van den	7	1	7	1-43	I	Frankrijk
7	1-43	Euskercken	Johan van	9	1	8	1-43	I	Frankrijk
8	1-43	Pauw	Adriaen	10	1	9	1-43	I	Frankrijk
9	1-43	Knuyt	Johan de	12	1	10	1-43	I	Frankrijk
10	1-43	Lyere	Willem van	13	1	11	1-43	I	Frankrijk
11	1-43	Meyer	Aert (Arnoldus) de	14	1	12	1-43	I	Frankrijk
12	1-43	Boreel	Willem	14	1	13	1-43	I	Frankrijk
13	1-43	Rumpf	Christiaan Constantijn	16	1	14	1-43	I	Frankrijk
14	1-43	Groot	Pieter de	18	1	15	1-43	I	Frankrijk
15	1-43	Boreel	Jacob	19	1	16	1-43	I	Frankrijk
16	1-43	Weede	Everhard van	21	1	17	1-43	I	Frankrijk
17	1-43	Nassau	(-Odijk), Willem Hadriaan van	23	1	18	1-43	I	Frankrijk
18	1-43	Wassenaer	(-Starrenburg), Willem van	24	1	19	1-43	I	Frankrijk
19	1-43	Mouwen	Christoffer	25	1	20	1-43	I	Frankrijk
20	1-43	Heemskerck	Coenraad van	25	1	21	1-43	I	Frankrijk
21	1-43	Vroesen	Jan	27	1	22	1-43	I	Frankrijk
22	1-43	Goslinga	Sicco van	27	1	23	1-43	I	Frankrijk
23	1-43	Buys	Willem	28	1	24	1-43	I	Frankrijk
24	1-43	Scheltus	Paulus	30	1	25	1-43	I	Frankrijk
25	1-43	Hop	Cornelis	30	1	26	1-43	I	Frankrijk
26	1-43	Paravicini	Paulus (de)	31	1	27	1-43	I	Frankrijk
27	1-43	Boreel	Willem	32	1	28	1-43	I	Frankrijk
28	1-43	Pesters	Ernst de	33	1	29	1-43	I	Frankrijk
29	1-43	Hoey	Abraham van	33	1	30	1-43	I	Frankrijk
30	1-43	Deurse	C. van	34	1	31	1-43	I	Frankrijk
31	1-43	Larrey	Thomas Isaac de	34	1	32	1-43	I	Frankrijk
32	1-43	Marselis	Dirk (Theodore) van	35	1	33	1-43	I	Frankrijk
